"Year","Region","NEP Name","Project Name","Habitat Type","Activity","Restoration Technique","Acres"
"2007","Region 1","Piscataqua Region Estuaries Partnership","Fairhill Marsh Invasive Species Control","Tidal Wetland","Rehabilitation","Invasives Control/Removal - Vegetation",".4"
"2007","Region 1","Piscataqua Region Estuaries Partnership","Little River Invasive Species Control","Tidal Wetland","Rehabilitation","Invasives Control/Removal - Vegetation","4"
"2007","Region 1","Piscataqua Region Estuaries Partnership","Town of Strafford Land Conservation Project","Forest/Woodland","-","Land Acquisition","191"
"2007","Region 1","Piscataqua Region Estuaries Partnership","Marsh Road Invasive Species Control","Tidal Wetland","Rehabilitation","Invasives Control/Removal - Vegetation",".7"
"2007","Region 1","Piscataqua Region Estuaries Partnership","Coastal Watershed Land Protection Transaction Fund","Forest/Woodland","-","Land Acquisition","2087"
"2007","Region 1","Piscataqua Region Estuaries Partnership","Awcomin Marsh Invasive Species Control","Tidal Wetland","Rehabilitation","Invasives Control/Removal - Vegetation","15"
"2007","Region 1","Piscataqua Region Estuaries Partnership","Wallis Road Invasive Species Control","Tidal Wetland","Rehabilitation","Invasives Control/Removal - Vegetation","4"
"2006","Region 1","Piscataqua Region Estuaries Partnership","Comte Conservation Easement Project","Forest/Woodland","-","Land Acquisition","134"
"2006","Region 1","Piscataqua Region Estuaries Partnership","New Castle Commons Invasive Species Control Project","Other","Rehabilitation","Invasives Control/Removal - Vegetation","10.1"
"2006","Region 1","Piscataqua Region Estuaries Partnership","Cocheco River Fishway Repair and Maintenance Project","In-Stream","Enhancement","Fish Passage","0"
"2006","Region 1","Piscataqua Region Estuaries Partnership","Reef Structure Alternatives for Restoration of Oyster (Crassostrea virginica) Populations","Shell Bottom","Enhancement","Reef Construction - Artificial Materials",".5"
"2006","Region 1","Piscataqua Region Estuaries Partnership","Lamprey River Fishway Repair and Maintenance Project","In-Stream","Enhancement","Fish Passage","0"
"2006","Region 1","Piscataqua Region Estuaries Partnership","Oyster Reef Restoration Project for the City of Dover","Shell Bottom","Reestablishment","Reef Construction - Artificial Materials",".5"
"2006","Region 1","Piscataqua Region Estuaries Partnership","Little River Park: Purchase of the Mills Property by the Town of Lee, New Hampshire","Riparian","-","Land Acquisition","12.6"
"2014","Region 1","Narragansett Bay Estuary Program","Kenyon Mill Dam Fish Passage","In-Stream","Reestablishment","Fish Ladder/Fishway","1300"
"2018","Region 1","Narragansett Bay Estuary Program","Factory Brook Fishway","In-Stream","Enhancement","Fish Ladder/Fishway","30"
"2018","Region 1","Narragansett Bay Estuary Program","Final Phase of Shady Lea dam removal to restore fish passage to Mattatuxet River","In-Stream","Enhancement","Dam Modification/Removal","-"
"2018","Region 1","Narragansett Bay Estuary Program","Cotton Gin Dam Removal Project","In-Stream","Rehabilitation","Dam Modification/Removal","-"
"2018","Region 1","Narragansett Bay Estuary Program","Sapowet Creek Saltmarsh Adaptation and Coastal Restoration","Tidal Wetland","Rehabilitation","Invasives Control/Removal - Vegetation","37"
"2018","Region 1","Narragansett Bay Estuary Program","Improving Coastal Resiliency at Longmeadow Fishing Access Site.","Dune","Rehabilitation","Sand Dune Restoration","1"
"2018","Region 1","Narragansett Bay Estuary Program","Improving Fish Passage At Bradford Dam","In-Stream","Enhancement","Dam Modification/Removal","1967"
"2017","Region 1","Narragansett Bay Estuary Program","Dyer Land Acquisition, abutting the Great River Preserve","Forest/Woodland","Protection","Land Acquisition","81.4"
"2017","Region 1","Narragansett Bay Estuary Program","Narrow River Thin Layer Sediment Deposition","Tidal Wetland","Enhancement","Placement of Dredged Material","30"
"2017","Region 1","Narragansett Bay Estuary Program","Oyster Reefs in Quonochotaug Pond","Shell Bottom","Rehabilitation","Beach Nourishment","-"
"2017","Region 1","Narragansett Bay Estuary Program","Curve Street Land Acquisition, abutting The Great River Preserve.","Forest/Woodland","Protection","Land Acquisition","62"
"2017","Region 1","Narragansett Bay Estuary Program","Land protection of the estate of Lucinda Wilcox Peckham","Forested Wetland","Protection","Land Acquisition","32"
"2017","Region 1","Narragansett Bay Estuary Program","Sapowet Point Restoration and Coastal Resilience","Estuarine Shoreline","Enhancement","Planting","37"
"2017","Region 1","Narragansett Bay Estuary Program","Rattlesnake Dam Removal","In-Stream","Rehabilitation","Dam Modification/Removal","4.6"
"2017","Region 1","Narragansett Bay Estuary Program","Ninigret Pond Marsh Restoration Using Dredged Material","Tidal Wetland","Enhancement","Placement of Dredged Material","25"
"2016","Region 1","Narragansett Bay Estuary Program","The Arrow Property","Forest/Woodland","Protection","Easements","12.5"
"2016","Region 1","Narragansett Bay Estuary Program","Marsh Restoration at Sachusest Point National Wildlife Refuge","Tidal Wetland","Reestablishment","Shoreline Stabilization/Enhancement","11"
"2016","Region 1","Narragansett Bay Estuary Program","Barrier Protection and Plant Community Restoration at Napatree Point","Dune","Rehabilitation","Fencing/Netting","2.3"
"2016","Region 1","Narragansett Bay Estuary Program","Mussachuck Creek","In-Stream","Rehabilitation","Debris Removal","84"
"2016","Region 1","Narragansett Bay Estuary Program","Wild Moor Property","Field/Meadow","Protection","Easements","14.75"
"2016","Region 1","Narragansett Bay Estuary Program","Whale Rock","Riparian","Protection","Land Acquisition","161"
"2016","Region 1","Narragansett Bay Estuary Program","Eugene Chase Farm","Agriculture/Ranch Land","Protection","Land Acquisition","93"
"2016","Region 1","Narragansett Bay Estuary Program","White Rock Dam Removal","In-Stream","Rehabilitation","Dam Modification/Removal","-"
"2015","Region 1","Narragansett Bay Estuary Program","Whale Rock","Estuarine Shoreline","Protection","Land Acquisition","14.5"
"2015","Region 1","Narragansett Bay Estuary Program","Lial Acres Farm","Agriculture/Ranch Land","Protection","Land Acquisition","40.51"
"2015","Region 1","Narragansett Bay Estuary Program","St. Mary's Pond Preservation","Forest/Woodland","Protection","Land Acquisition","72"
"2015","Region 1","Narragansett Bay Estuary Program","Narrow River Girl Scout Property","Forested Wetland","Protection","Land Acquisition","161"
"2015","Region 1","Narragansett Bay Estuary Program","Donker Farm","Agriculture/Ranch Land","Protection","Land Acquisition","23"
"2015","Region 1","Narragansett Bay Estuary Program","Murray/Needs Farm","Agriculture/Ranch Land","Protection","Land Acquisition","61.6"
"2012","Region 1","Narragansett Bay Estuary Program","Indian Lake Fish Passage","In-Stream","Rehabilitation","Fish Ladder/Fishway","220"
"2012","Region 1","Narragansett Bay Estuary Program","Gilbert Stuart Brook Fish Passage","In-Stream","Rehabilitation","Fish Ladder/Fishway","58"
"2015","Region 1","Narragansett Bay Estuary Program","Freetown State Forest Expansion","Forest/Woodland","Protection","Land Acquisition","690"
"2015","Region 1","Narragansett Bay Estuary Program","Bettencourt/Golden Tassel Farm","Agriculture/Ranch Land","Protection","Land Acquisition","59.76"
"2007","Region 1","Narragansett Bay Estuary Program","Kickmuit River Fish Passage","In-Stream","Reestablishment","Fish Passage","38.4"
"2011","Region 1","Narragansett Bay Estuary Program","Pawtuxet River Dam Removal","In-Stream","Reestablishment","Dam Modification/Removal","705"
"2011","Region 1","Narragansett Bay Estuary Program","Ten Mile River Fish Passage: Hunts Mills & Turner Reservoir Dams","In-Stream","Reestablishment","Fish Ladder/Fishway","300"
"2011","Region 1","Narragansett Bay Estuary Program","Horseshoe Falls Fish Passage Project","In-Stream","Reestablishment","Fish Ladder/Fishway","94"
"2010","Region 1","Narragansett Bay Estuary Program","Jacob's Point Salt Marsh Restoration","Tidal Wetland","Reestablishment","Culvert Modification (including installation and replacement)","47"
"2010","Region 1","Narragansett Bay Estuary Program","Paragon Mills Fish Passage","In-Stream","Reestablishment","Dam Modification/Removal","2"
"2010","Region 1","Narragansett Bay Estuary Program","Somerset Marsh Restoration Project","Tidal Wetland","Reestablishment","Culvert Modification (including installation and replacement)","11"
"2010","Region 1","Narragansett Bay Estuary Program","Lower Shannock Fish Passage Project","In-Stream","Reestablishment","Dam Modification/Removal","5.2"
"2015","Region 1","Narragansett Bay Estuary Program","Fish Ladder at Omega Pond Dam","In-Stream","Reestablishment","Fish Ladder/Fishway","33"
"2008","Region 1","Narragansett Bay Estuary Program","Atlantic Mills Fish Passage","In-Stream","Reestablishment","Fish Passage","3.4"
"2008","Region 1","Narragansett Bay Estuary Program","Rising Sun Fish Passage","In-Stream","Reestablishment","Fish Passage","1.8"
"2008","Region 1","Narragansett Bay Estuary Program","Fish Passage on the Three Mile River: Harodite Dam","In-Stream","Reestablishment","Fish Passage","2.5"
"2008","Region 1","Narragansett Bay Estuary Program","Shad Factory Pond Fish Passage","In-Stream","Reestablishment","Fish Passage","38.4"
"2009","Region 1","Narragansett Bay Estuary Program","Bradford Dam Fish Passage","In-Stream","Rehabilitation","Fish Passage","687.45"
"2009","Region 1","Narragansett Bay Estuary Program","Gooseneck Cove Salt Marsh Restoration","Tidal Wetland","Rehabilitation","Culvert Modification (including installation and replacement)","63"
"2007","Region 1","Narragansett Bay Estuary Program","Fish Passage Enhancement - Annaquatucket River","In-Stream","Enhancement","Fish Passage","170.94"
"2006","Region 1","Narragansett Bay Estuary Program","Town Pond Restoration Project","Tidal Wetland","Reestablishment","Fill Removal","40"
"2006","Region 1","Narragansett Bay Estuary Program","Allins Cove Salt Marsh Restoration","Tidal Wetland","Reestablishment","Fill Removal","11"
"2014","Region 1","Narragansett Bay Estuary Program","Whittendon Dam Removal","In-Stream","Reestablishment","Dam Modification/Removal","26"
"2006","Region 1","Massachusetts Bays NEP","Ship Pond Road - Plymouth","Forest/Woodland","-","Land Acquisition","89"
"2018","Region 1","Massachusetts Bays NEP","Pepperweed control and eradication in Salem Sound (MA).","Estuarine Shoreline","Maintenance","Invasives Control/Removal - Vegetation","40"
"2018","Region 1","Massachusetts Bays NEP","Adopt-a-Beach Program (Salem Sound, MA)","Estuarine Shoreline","Maintenance","Debris Removal","157"
"2018","Region 1","Massachusetts Bays NEP","Plum Island Sound Eelgrass Restoration (MA)","SAV (Submerged Aquatic Vegetation)","Reestablishment","Planting","1"
"2018","Region 1","Massachusetts Bays NEP","Phragmites Management and Control in Salisbury, MA.","Tidal Wetland","Reestablishment","Invasives Control/Removal - Vegetation","500"
"2018","Region 1","Massachusetts Bays NEP","Restoration of native salt marsh through removal of invasive perennial pepperweed (Great Marsh, MA)","Tidal Wetland","Reestablishment","Invasives Control/Removal - Vegetation","300"
"2017","Region 1","Massachusetts Bays NEP","Tack Factory Dam Removal, Norwell, MA.","In-Stream","Reestablishment","Dam Modification/Removal","7.2"
"2017","Region 1","Massachusetts Bays NEP","Iron Mine Brook Culvert Removal, Hanover, MA.","In-Stream","Reestablishment","Culvert Removal",".8"
"2017","Region 1","Massachusetts Bays NEP","Sandwich Grist Mill Fish Passage Improvement, Sandwich, MA","In-Stream","Enhancement","Fish Ladder/Fishway","24.1"
"2017","Region 1","Massachusetts Bays NEP","Hunters Pond Dam Removal, Scituate, MA","In-Stream","Reestablishment","Dam Modification/Removal","2"
"2017","Region 1","Massachusetts Bays NEP","Plum Island Sound Eelgrass Restoration (MA)","SAV (Submerged Aquatic Vegetation)","Reestablishment","Planting",".25"
"2017","Region 1","Massachusetts Bays NEP","Coastal Dune Restoration, Newburyport, MA","Beach","Protection","Fencing/Netting","50"
"2017","Region 1","Massachusetts Bays NEP","Adopt-a-Beach Program (Salem Sound, MA).","Estuarine Shoreline","Maintenance","Debris Removal","157"
"2017","Region 1","Massachusetts Bays NEP","Salem Sound Pepperweed Removal Project (MA)","Estuarine Shoreline","Rehabilitation","Invasives Control/Removal - Vegetation","40"
"2016","Region 1","Massachusetts Bays NEP","Salem Sound Pepperweed Removal Project (MA)","Estuarine Shoreline","Enhancement","Invasives Control/Removal - Vegetation","40"
"2016","Region 1","Massachusetts Bays NEP","Adopt-A-Beach Program (Salem Sound, MA)","Estuarine Shoreline","Enhancement","Debris Removal","157"
"2016","Region 1","Massachusetts Bays NEP","Tidmarsh Farms Restoration, Plymouth, MA","Agriculture/Ranch Land","Reestablishment","Stream Channel Rehabilitation","250"
"2016","Region 1","Massachusetts Bays NEP","Salisbury Marsh Rain Garden, Salisbury, MA.","Tidal Wetland","Protection","Rain Garden Creation","25"
"2016","Region 1","Massachusetts Bays NEP","North River Low Impact Development (LID) Retrofit Project, Commercial Street, Salem MA","Riparian","Establishment","Rain Garden Creation","12"
"2016","Region 1","Massachusetts Bays NEP","Restoration of native salt marsh through the removal of invasive perennial pepperweed (Great Marsh, MA).","Estuarine Shoreline","Rehabilitation","Invasives Control/Removal - Vegetation","1500"
"2016","Region 1","Massachusetts Bays NEP","Eelgrass Restoration Conomo Point, Essex, MA.","SAV (Submerged Aquatic Vegetation)","Reestablishment","Vegetation Buffer","3"
"2016","Region 1","Massachusetts Bays NEP","Little River Restoration, Gloucester MA.","In-Stream","Reestablishment","Daylighting","1500"
"2014","Region 1","Massachusetts Bays NEP","Masthead Lane Property, North River, Norwell, MA.","Riparian","Protection","Land Acquisition","11.3"
"2014","Region 1","Massachusetts Bays NEP","Salem Sound Pepperweed Removal (MA)","Estuarine Shoreline","Rehabilitation","Invasives Control/Removal - Vegetation","25"
"2014","Region 1","Massachusetts Bays NEP","Off Billington Street Dam Removal, Town Brook, Plymouth, MA","In-Stream","Reestablishment","Dam Modification/Removal","1.2"
"2014","Region 1","Massachusetts Bays NEP","Pepperweed Control in Great Marsh (MA)","Tidal Wetland","Reestablishment","Invasives Control/Removal - Vegetation","350"
"2015","Region 1","Massachusetts Bays NEP","Plymco Dam Removal in Town Brook (Plymouth, MA)","In-Stream","Reestablishment","Dam Modification/Removal","288"
"2015","Region 1","Massachusetts Bays NEP","Mill Pond Dam (Norwell & Hanover, MA)","In-Stream","Reestablishment","Dam Modification/Removal","3.97"
"2015","Region 1","Massachusetts Bays NEP","Phragmites Management and Control in Great Marsh (MA)","Tidal Wetland","Reestablishment","Invasives Control/Removal - Vegetation","85"
"2015","Region 1","Massachusetts Bays NEP","Pepperweed Management and Control in Great Marsh (MA)","Tidal Wetland","Reestablishment","Invasives Control/Removal - Vegetation","260"
"2015","Region 1","Massachusetts Bays NEP","Eelgrass Restoration in Essex Bay (Essex, MA).","SAV (Submerged Aquatic Vegetation)","Reestablishment","Shoreline Stabilization/Enhancement","3"
"2015","Region 1","Massachusetts Bays NEP","Dune Revegetation and Nourishment (Salisbury, MA).","Beach","Reestablishment","Shoreline Stabilization/Enhancement","35"
"2006","Region 1","Massachusetts Bays NEP","Mill Creek","Tidal Wetland","Rehabilitation","Stormwater/Runoff Controls","1"
"2013","Region 1","Massachusetts Bays NEP","Upper Castle Neck Creek Restoration, Ipswich/Essex, MA.","Tidal Wetland","Reestablishment","Stream Channel Rehabilitation","50"
"2013","Region 1","Massachusetts Bays NEP","Great Marsh Pepperweed Control (MA)","Tidal Wetland","Reestablishment","Invasives Control/Removal - Vegetation","40"
"2013","Region 1","Massachusetts Bays NEP","Phragmites Control in the Upper Great Marsh (MA).","Tidal Wetland","Reestablishment","Invasives Control/Removal - Vegetation","30"
"2013","Region 1","Massachusetts Bays NEP","Freeman's Pond Salt Marsh Restoration, Brewster, MA","Tidal Wetland","Reestablishment","Fish Barrier Removal","21"
"2013","Region 1","Massachusetts Bays NEP","Lower Mill Pond Fish Passage Improvement and Dam Reconstruction, Brewster, MA","In-Stream","Enhancement","Dam Modification/Removal","386"
"2013","Region 1","Massachusetts Bays NEP","Adopt a Beach Program (Salem Sound, MA)","Estuarine Shoreline","Enhancement","Debris Removal","0"
"2013","Region 1","Massachusetts Bays NEP","Salem Sound Pepperweed Removal (MA)","Estuarine Shoreline","Rehabilitation","Invasives Control/Removal - Vegetation","120"
"2012","Region 1","Massachusetts Bays NEP","Saint's Landing Stormwater Remediation, Brewster MA","Soft Bottom/sand","Protection","Stormwater/Runoff Controls","106"
"2012","Region 1","Massachusetts Bays NEP","Freeman's Pond Salt Marsh Restoration, Brewster MA","Tidal Wetland","Reestablishment","Culvert Modification (including installation and replacement)","21"
"2012","Region 1","Massachusetts Bays NEP","First Herring Brook Restoration, Scituate MA","In-Stream","Enhancement","Stream Flow Modification (including stream pool construction)","9"
"2008","Region 1","Massachusetts Bays NEP","Mill River Restoration","Tidal Wetland","Reestablishment","Culvert Modification (including installation and replacement)","50"
"2007","Region 1","Massachusetts Bays NEP","Namskaket Marsh","Tidal Wetland","Rehabilitation","Culvert Modification (including installation and replacement)","11"
"2007","Region 1","Massachusetts Bays NEP","Thompson Island","Tidal Wetland","Rehabilitation","Debris Removal","6"
"2014","Region 1","Massachusetts Bays NEP","Phragmites Control in Great Marsh (MA)","Tidal Wetland","Reestablishment","Invasives Control/Removal - Vegetation","75"
"2010","Region 1","Massachusetts Bays NEP","Ox Pasture Brook Dam Removal","Tidal Wetland","Rehabilitation","Dam Modification/Removal","8"
"2010","Region 1","Massachusetts Bays NEP","Newman Road Culvert Replacement","Tidal Wetland","Rehabilitation","Culvert Modification (including installation and replacement)","33"
"2010","Region 1","Massachusetts Bays NEP","Upper Great Marsh Phragmites Control","Tidal Wetland","Rehabilitation","Invasives Control/Removal - Vegetation","300"
"2010","Region 1","Massachusetts Bays NEP","Straits Pond Restoration Project","Tidal Wetland","Rehabilitation","Culvert Modification (including installation and replacement)","92"
"2012","Region 1","Massachusetts Bays NEP","Wapping Road Dam Removal, Kingston MA","In-Stream","Reestablishment","Dam Modification/Removal","9.5"
"2012","Region 1","Massachusetts Bays NEP","Commercial Street / Holbrook Avenue Stormwater Remediation, Wellfleet MA","Soft Bottom/sand","Protection","Stormwater/Runoff Controls","247"
"2012","Region 1","Massachusetts Bays NEP","South River Park Creation and Invasive Plant Removal, Marshfield MA","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","1.5"
"2012","Region 1","Massachusetts Bays NEP","Lower Mill Pond Fish Passage Improvement and Dam Reconstruction, Brewster MA","In-Stream","Enhancement","Fish Ladder/Fishway","386"
"2014","Region 1","Massachusetts Bays NEP","Eelgrass Restoration, Essex Bay, MA","SAV (Submerged Aquatic Vegetation)","Reestablishment","Shoreline Stabilization/Enhancement","1"
"2014","Region 1","Massachusetts Bays NEP","Salisbury Tidegate Project, Salisbury, MA.","Tidal Wetland","Reestablishment","Tide Gate Modification (including replacement)","35"
